ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp
25016,22,-1,,5300422992605903744,140.5447,-58.7412,6.34,16.7,3.2
25019,22,17,,4131285031496173312,247.7354,-19.5813,7.73,13.3,2.4
25020,22,-1,,4131285031492552832,247.7351,-19.5802,7.65,14.3,3.2
25025,22,-1,,6090730132201936256,212.5076,-49.8011,7.91,15.1,2.9
25027,22,-1,,6090729754245639552,212.4532,-49.8236,7.94,13.6,2.4
25031,22,27,E,6072024999891475200,181.9931,-58.1755,9.37,14.7,3.0
25032,22,-1,,6090764045263990400,212.9126,-49.4714,7.97,15.8,3.1
25039,22,27,E,6072021598277165312,181.4303,-58.221,9.3,13.5,2.4
25051,22,27,,6056525459373974784,189.7907,-60.6745,8.67,16.4,3.6
25055,22,-1,,6069970321874642816,202.9329,-51.0038,7.08,15.3,2.8
25063,22,-1,,5315056800866261760,129.8927,-57.3916,6.22,15.9,2.9
25068,22,-1,,5335090216297084416,179.633,-61.6174,12.88,14.0,2.9
25071,22,-1,,6069957608771379584,202.7786,-51.3099,9.43,16.0,3.7
25072,22,-1,,6069964480720336128,203.0507,-51.18,7.36,15.6,3.2
25075,22,-1,,5875591509559619456,231.6694,-61.1824,10.01,13.4,2.5
25077,22,17,,6046164482080667776,250.2563,-26.634,7.62,13.5,2.5
25078,22,17,,6046164486390772480,250.2574,-26.634,7.65,14.7,2.9
25080,22,-1,,6140753272692220288,196.3731,-40.9403,9.3,14.4,2.7
25088,22,-1,,5484022021168054400,104.0646,-57.467,11.34,16.9,4.2
25090,22,1,,6728469996119674112,280.775,-40.9683,17.0,12.1,2.5
25094,22,5,,5513027722027825280,122.7539,-52.0186,6.35,15.2,2.7
25096,22,-1,,6085097093610966912,198.468,-48.3066,8.76,14.5,2.7
25097,22,26,,6085073969506432768,198.2356,-48.6475,8.61,15.2,3.3
25101,22,-1,,5235979065595307904,175.1376,-66.7097,6.31,18.2,3.9
25126,22,-1,,5334413604334721152,172.6525,-61.3508,6.43,16.4,3.1
25128,22,-1,,5396105586807802880,170.2725,-38.7546,15.27,11.7,2.3
25130,22,-1,,4131570320404129536,250.0587,-18.9208,7.06,15.5,3.8
25131,22,-1,,6250495528262288512,242.269,-16.2759,7.05,15.1,3.2
25154,22,-1,,6128774334032083712,188.235,-47.4127,9.52,14.8,3.0
25165,22,17,,6242974112815691520,242.5793,-21.4071,6.58,15.1,3.2
25166,22,17,,6242944288562499200,242.5054,-21.8736,6.27,16.5,4.0
25167,22,17,H,6242937279176153216,242.2345,-21.8137,7.17,13.4,2.3
25168,22,17,,6243001634964520320,243.3412,-21.6039,6.73,14.0,2.7
25169,22,17,,6242933877561854848,242.2582,-21.8564,7.36,17.8,4.0
25170,22,17,,6242964045412203776,242.4673,-21.6078,7.16,16.7,4.3
25175,22,17,,6043297441096272384,241.9189,-26.8094,6.9,14.9,3.0
25176,22,17,,6043375025387317504,241.8692,-26.5037,7.56,16.2,3.3
25177,22,-1,,6215391076932317184,219.305,-34.1559,10.07,13.6,2.7
25178,22,-1,,6130216824568200320,185.9702,-47.7874,7.7,17.2,3.8
25187,22,-1,,4058962695772481536,259.4815,-30.7102,8.68,14.9,3.0
25188,22,-1,,4131668486176977920,251.4972,-18.3723,6.49,13.7,2.5
25197,22,-1,,6057031372156944896,196.1434,-58.6627,9.88,15.8,3.6
25201,22,-1,,6253921262898102400,234.7346,-19.994,5.42,15.6,3.1
25204,22,-1,,5319023224634030464,124.0675,-55.3674,8.15,14.5,2.9
25208,22,-1,,6057051335166859392,196.435,-58.5038,8.21,17.5,4.0
25220,22,-1,,4049743252023565952,273.9654,-29.7286,7.49,15.1,2.9
25223,22,27,C,6053499603394694400,185.9475,-64.0486,9.44,10.5,1.3
25224,22,27,C,6053492147331004032,185.5274,-64.2198,9.53,15.2,3.3
25230,22,24,,6117653907788215424,213.2812,-38.0645,6.75,16.0,3.1
25231,22,-1,,6117555192261575040,212.4453,-37.6185,6.89,15.9,3.1
25232,22,24,,6117618860855534592,214.0049,-38.0424,6.78,16.7,3.7
25233,22,-1,,6117627553869420032,214.1748,-37.8648,7.7,17.1,3.7
25234,22,-1,,4049743256403254784,273.9656,-29.7256,7.48,14.5,2.7
25241,22,-1,,6238094097954087808,235.38,-25.3435,7.67,9.6,1.3
25242,22,-1,,6238041188256429440,233.406,-24.8428,8.61,17.3,3.8
25246,22,-1,,6054899212944242432,185.2006,-61.96,8.49,15.9,3.6
25248,22,27,C,6054900552974120064,185.3105,-61.8531,9.38,15.2,3.2
25250,22,-1,,6247586838973252864,240.5402,-18.6927,7.55,16.4,3.6
